id_venda,status,produto,pais,data_criacao,forma_pagamento,valor_bruto,valor_liquido,taxas,moeda,motivo_recusa,utm_source,utm_medium,utm_campaign,dia
81Mp9k2,paid,BIBLIOTECA DE RECURSOS,br,2025-07-06 10:26:06,pix,19.9,18.11,1.79,BRL,,Instagram_Reels,[Fase01][CursoMetodologias][30.01][Criativo08],[Fase01][CursoMetodologias][30.01][Criativo08],2025-07-06
32vPQ9U,paid,FORMAÇÃO STORYTELLING NA EDUCAÇÃO,br,2025-07-06 10:26:06,pix,9.9,9.01,0.89,BRL,,Instagram_Reels,[Fase01][CursoMetodologias][30.01][Criativo08],[Fase01][CursoMetodologias][30.01][Criativo08],2025-07-06
bVHlLJ6,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-06 10:26:04,pix,47.0,40.28,6.72,BRL,,Instagram_Reels,[Fase01][CursoMetodologias][30.01][Criativo08],[Fase01][CursoMetodologias][30.01][Criativo08],2025-07-06
bk9niVW,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-06 08:42:00,pix,27.0,22.08,4.92,BRL,,Instagram_Feed,[Fase02][CursoMetodologias][05.07][Criativo08],[Fase02][CursoMetodologias][05.07][Criativo08],2025-07-06
nEnSq7j,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-06 08:19:35,pix,47.0,40.28,6.72,BRL,,Instagram_Feed,[Fase02][CursoMetodologias][05.07][Criativo08],[Fase02][CursoMetodologias][05.07][Criativo08],2025-07-06
ycdR3Fx,waiting_payment,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-05 20:13:20,pix,47.0,40.28,6.72,BRL,,Facebook_Mobile_Feed,[Fase02][CursoMetodologias][05.07][Criativo08],[Fase02][CursoMetodologias][05.07][Criativo08],2025-07-05
SO692Bf,paid,RÁIZES DO EU,br,2025-07-05 19:33:49,pix,19.9,15.62,4.28,BRL,,,,,2025-07-05
VLYZ0Ma,paid,Feed Irresistível - Psicologia Infantil,br,2025-07-05 14:37:10,pix,37.0,31.18,5.82,BRL,,Instagram_Stories,[Fase01][PsicologiaInfantil][04.07][Criativo01],[Fase01][PsicologiaInfantil][04.07][Criativo01],2025-07-05
IryXecs,paid,Reels Irresistíveis - Psicologia,br,2025-07-05 11:33:35,mastercard,37.0,31.18,5.82,BRL,,Facebook_Stories,[Fase01][ReelsPsicologia][04.07][Criativo01],[Fase01][ReelsPsicologia][04.07][Criativo01],2025-07-05
7oqfzhC,paid,Feed Irresistível - Psicologia Infantil,,2025-07-05 08:25:30,pix,37.0,31.18,5.82,BRL,,Instagram_Stories,[Fase01][PsicologiaInfantil][04.07][Criativo01],[Fase01][PsicologiaInfantil][04.07][Criativo01],2025-07-05
6N1iu8T,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-05 01:32:21,pix,47.0,40.28,6.72,BRL,,Instagram_Feed,[Fase02][CursoMetodologias][05.07][Criativo08],[Fase02][CursoMetodologias][05.07][Criativo08],2025-07-05
wSpnNsZ,waiting_payment,CARDS DE LAYOUTS,br,2025-07-05 00:59:40,pix,7.9,7.19,0.71,BRL,,Instagram_Stories,[Fase02][CursoMetodologias][05.07][Criativo08],[Fase02][CursoMetodologias][05.07][Criativo08],2025-07-05
fPBdxS9,waiting_payment,FORMAÇÃO STORYTELLING NA EDUCAÇÃO,,2025-07-05 00:59:40,pix,9.9,9.01,0.89,BRL,,Instagram_Stories,[Fase02][CursoMetodologias][05.07][Criativo08],[Fase02][CursoMetodologias][05.07][Criativo08],2025-07-05
uZ43gc3,waiting_payment,1000 ATIVIDADES PARA FAZER COM AS CRIANÇAS SEM CELULAR,br,2025-07-05 00:59:40,pix,9.9,9.01,0.89,BRL,,Instagram_Stories,[Fase02][CursoMetodologias][05.07][Criativo08],[Fase02][CursoMetodologias][05.07][Criativo08],2025-07-05
L41PI2N,waiting_payment,BIBLIOTECA DE RECURSOS,br,2025-07-05 00:59:40,pix,19.9,18.11,1.79,BRL,,Instagram_Stories,[Fase02][CursoMetodologias][05.07][Criativo08],[Fase02][CursoMetodologias][05.07][Criativo08],2025-07-05
J29jlLR,waiting_payment,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-05 00:59:38,pix,47.0,40.28,6.72,BRL,,Instagram_Stories,[Fase02][CursoMetodologias][05.07][Criativo08],[Fase02][CursoMetodologias][05.07][Criativo08],2025-07-05
TMvKhYq,paid,GAMIFICAÇÃO & INTELIGÊNCIA ARTIFICIAL,br,2025-07-04 22:21:39,pix,27.0,22.08,4.92,BRL,,Instagram_Stories,[Fase01][Gamificação][04.07][Criativo01],[Fase01][Gamificação][04.07][Criativo01],2025-07-04
O2HzpxK,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-04 14:23:44,mastercard,47.0,40.28,6.72,BRL,,,,,2025-07-04
OLCwJKJ,paid,GAMIFICAÇÃO & INTELIGÊNCIA ARTIFICIAL,br,2025-07-04 13:44:18,mastercard,27.0,22.08,4.92,BRL,,Instagram_Feed,[Fase01][Gamificação][04.07][Criativo01],[Fase01][Gamificação][04.07][Criativo01],2025-07-04
ZE72IzM,paid,BIBLIOTECA DE RECURSOS,br,2025-07-04 11:54:11,pix,19.9,18.11,1.79,BRL,,Instagram_Feed,[Fase01][CursoMetodologias][30.01][Criativo08],[Fase01][CursoMetodologias][30.01][Criativo08],2025-07-04
9LeAsV0,paid,CARDS DE LAYOUTS,br,2025-07-04 11:54:11,pix,7.9,7.19,0.71,BRL,,Instagram_Feed,[Fase01][CursoMetodologias][30.01][Criativo08],[Fase01][CursoMetodologias][30.01][Criativo08],2025-07-04
lklWabc,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-04 11:54:09,pix,47.0,40.28,6.72,BRL,,Instagram_Feed,[Fase01][CursoMetodologias][30.01][Criativo08],[Fase01][CursoMetodologias][30.01][Criativo08],2025-07-04
70xJ1Rk,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-04 11:14:47,pix,47.0,40.28,6.72,BRL,,Instagram_Stories,[Fase02][CursoMetodologias][19.06][criativo01new],[Fase2][CursoMetodologias][19.06][Criativo01new],2025-07-04
uyQMpm5,paid,Pack Feed Irresistível - Psicologia,br,2025-07-04 08:46:16,pix,37.0,31.18,5.82,BRL,,Instagram_Stories,[Fase01][PackPsicologia][04.07][Criativo01],[Fase01][PackPsicologia][04.07][Criativo01],2025-07-04
os9R5HQ,waiting_payment,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,,2025-07-03 19:23:54,pix,47.0,40.28,6.72,BRL,,Instagram_Reels,[Fase02][CursoMetodologias][19.06][criativo01new],[Fase2][CursoMetodologias][19.06][Criativo01new],2025-07-03
HJ3AqoP,waiting_payment,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-03 08:37:22,pix,47.0,40.28,6.72,BRL,,{{placement}},{{ad.name}},{{campaign.name}},2025-07-03
IHGXx1I,paid,CARDS DE LAYOUTS,br,2025-07-02 22:47:25,pix,7.9,7.19,0.71,BRL,,Instagram_Reels,[Fase2][CursoMetodologias][Semelhante][02.07][Criativo01new],[Fase2][CursoMetodologias][Semelhante][02.07][Criativo01new],2025-07-02
